Threshold,TTS
1,669413122.4094788
2,652993541.2482104
3,637699073.3652688
4,623851377.7153091
5,607796736.9276348
6,590255886.2851971
7,573470181.3228731
8,553611811.7448049
9,533564262.6137488
10,511039509.6802292
11,489273504.596641
12,466844223.55894816
13,445429879.09519017
14,423353107.1141367
15,401625297.94356054
16,380826917.73077023
17,361290310.17553097
18,340596853.13425064
19,319690980.1523107
20,300429970.8994575
21,283762355.18702906
22,266381961.48328874
23,250838932.336971
24,237366301.2383861
25,224097081.65060598
26,212737898.06108266
27,202625785.05234587
28,193849407.6105025
29,186431100.85869026
30,178297878.94824722
31,172083811.46518305
32,166526262.11909884
33,161437210.08599535
34,156394630.40037432
35,152281596.11511308
36,148704771.7332786
37,144761952.33302984
38,141173436.73208168
39,137905267.08196133
40,135230935.5722513
41,132587597.197999
42,130737806.39219661
43,129045617.61037357
44,127481260.60686591
45,125675475.33840969
46,124022441.06609175
47,122391406.88543992
48,120933330.88885692
49,119718680.6470718
50,118668038.64041643
51,117705021.05949609
52,116542773.78744319
53,115701741.77507254
54,114781668.15488012
55,113966564.73493671
56,113008406.37967134
57,112394611.62836975
58,111489111.83035168
59,110662252.85163143
60,109932805.6720464
61,109236496.60407862
62,108834232.98787026
63,108261623.53464158
64,107757763.04724772
65,107092220.20328915
66,106569947.29219864
67,106057897.15170333
68,105609858.3853395
69,105030461.25529683
70,104497394.99932669
71,103992403.25270952
72,103597166.52815
73,103259058.7342826
74,102818502.51420103
75,102311212.76708382
76,101935966.63249971
77,101511230.2686867
78,100982613.35916862
79,100676252.19888298
80,100377958.70665345
81,100127326.3265618
82,99716844.37734707
83,99504966.18316711
84,99250964.03198764
85,98863752.52913702
86,98522477.70398764
87,98269147.05429856
88,97981541.68627116
89,97744871.26972748
90,97556295.36251616
91,97298121.38529833
92,97031223.3758018
93,96748112.67959629
94,96527368.53750251
95,96267096.27783087
96,96080463.29556766
97,95932174.80891187
98,95727579.65274023
99,95546705.7247507
100,95267296.71727657
101,95075165.51515616
102,94899934.19032356
103,94735598.26778702
104,94611914.0349482
105,94492530.3252564
106,94365366.7732001
107,94229193.66437678
108,94087277.87255827
109,93929862.61770776
110,93791535.61677213
111,93666498.02329859
112,93582234.24575347
113,93501358.98134539
114,93426962.75263414
115,93364546.67517324
116,93294203.01563723
117,93255108.02314436
118,93230253.16674088
119,93229886.20157762
120,93255593.53567937
121,93292498.81593156
122,93367303.39403741
123,93457075.07567175
124,93592981.95557487
125,93722423.37698759
126,93914790.54660058
127,94134864.1433075
128,94365594.78469463
129,94675674.44517966
130,95004127.10721195
131,95414164.13495797
132,95835589.63475278
133,96266614.4143316
134,96826633.27916566
135,97362641.0891008
136,97922735.34492983
137,98538422.09924899
138,99235116.86162408
139,99906279.564066
140,100735170.82381897
141,101636132.7189594
142,102632512.94963732
143,103674986.93033443
144,104926481.99659735
145,105895797.80613786
146,106968035.45913544
147,108383729.5505476
148,109518058.59156427
149,110839433.91306561
150,112302961.5271323
151,113936492.90186822
152,115587863.27876627
153,117404493.25580813
154,119264907.84762427
155,121262385.10572164
156,123062461.40676673
157,125196124.15056884
158,127296605.03232521
159,129439937.47300833
160,131807059.86959414
161,134151820.5500015
162,136818720.938053
163,139295595.19525898
164,141842275.05170447
165,144411800.90708384
166,147121624.88723582
167,150102098.26699895
168,152774780.29058826
169,155265978.65309903
170,158232696.9214254
171,161082111.6135926
172,164050850.17219725
173,167161385.03342408
174,170225481.59376788
175,173399681.7832824
176,176478879.2090129
177,179662812.88651398
178,182999516.17701444
179,186214522.0515036
180,189435844.15246275
181,192747656.6096444
182,196399625.62612587
183,199882501.48000053
184,203738555.9788571
185,207639859.4158494
186,211435395.2927811
187,215407059.20063424
188,219979433.65996203
189,224286671.06284797
190,229067076.5497604
191,233796145.9538568
192,238941521.82695428
193,244099558.19128555
194,249337054.89786687
195,254497738.83667746
196,260048349.57842514
197,265746980.96818614
198,271858386.05100363
199,277486792.1122129
200,283904116.3268565
201,291002785.2627451
202,298076696.26966506
203,306477606.93585473
204,314903731.22561735
205,323904403.9295306
206,333260329.7907174
207,342467234.12121195
208,351622069.52173275
209,360197085.96858174
210,368433394.300184
211,376119483.8190636
212,383780387.75965136
213,391851995.2169399
214,400409271.53131783
215,408551236.74121183
216,416819243.93596196
217,425137708.3858102
218,433840109.2263105
219,441986872.61598414
220,450999175.88033706
221,459639791.13275355
222,467645228.4771597
223,475491435.64521205
224,482942937.1964342
225,489686611.4377211
226,496236404.07765913
227,502193786.72721845
228,508105503.6104926
229,514289641.459055
230,520349565.47866684
231,526662574.4404595
232,532969008.8085523
233,540016048.1560487
234,546677034.2279505
235,554183652.1198946
236,561675856.0188214
237,569298697.5965109
238,576772467.5542827
239,584846012.968621
240,592931731.4433445
241,601127069.4136605
242,609306014.3361691
243,617447192.2166781
244,625574597.179455
245,633265015.3905685
246,640424301.716987
247,646931406.6325505
248,653300225.8313032
249,659128313.192042
250,664260341.3384392
251,668491888.0546465
252,671673523.7080112
253,674237205.821725
254,676261960.5120091
255,677237789.3062779
